Country	Concentrations of fine particulate matter (PM2.5)_2016_Total	Concentrations of fine particulate matter (PM2.5)_2016_Urban	Concentrations of fine particulate matter (PM2.5)_2016_Rural
Afghanistan	53.2 [40.1-75.8]	59.9 [45.6-80.0]	48.7 [36.5-74.6]
Albania	17.9 [16.3-20.6]	18.2 [16.5-21.0]	16.9 [15.3-19.4]
Algeria	35.2 [19.8-71.9]	34.5 [17.2-73.2]	37.6 [21.1-79.9]
Andorra	9.9 [9.8-12.6]	11.5 [10.5-13.2]	9.1 [7.6-10.9]
Angola	27.9 [16.0-53.8]	28.4 [15.5-60.1]	27.7 [16.3-53.8]
Antigua and Barbuda	17.9 [10.4-34.1]	18.0 [10.5-34.2]	14.9 [8.2-28.1]
Argentina	11.8 [9.8-19.0]	11.7 [9.9-17.4]	12.3 [9.4-21.6]
Armenia	30.5 [20.1-45.9]	32.9 [21.0-49.0]	23.7 [16.4-33.0]
Australia	7.2 [7.4-9.7]	7.3 [7.6-10.0]	6.1 [6.0-7.8]
Austria	12.4 [12.1-12.8]	13.1 [12.7-13.5]	10.9 [10.6-11.4]
Azerbaijan	18.2 [10.8-35.4]	18.5 [10.7-38.6]	17.8 [10.9-32.3]
Bahamas	17.6 [8.6-36.1]	19.0 [8.9-37.5]	15.6 [7.8-31.9]
Bahrain	69.0 [51.7-90.7]	69.0 [51.5-90.6]	70.7 [49.6-98.4]
Bangladesh	58.3 [51.0-68.7]	58.6 [51.3-69.0]	52.9 [44.9-64.8]
Barbados	22.2 [13.4-41.1]	22.4 [13.5-41.3]	20.3 [11.8-37.4]
Belarus	18.1 [16.2-21.6]	19.3 [17.4-23.3]	16.4 [14.0-20.0]
Belgium	12.9 [12.4-13.5]	13.0 [12.6-13.7]	9.4 [9.1-10.3]
Belize	21.2 [9.4-47.2]	20.9 [8.8-46.9]	21.2 [9.5-47.2]
Benin	33.1 [20.6-68.9]	30.4 [18.2-55.2]	41.3 [22.4-104.6]
Bhutan	35.3 [32.8-45.0]	35.4 [37.7-48.1]	35.3 [31.2-44.2]
