Country	Ambient and household air pollution attributable death rate (per 100 000 population)_2016_Both sexes	Ambient and household air pollution attributable death rate (per 100 000 population)_2016_Male	Ambient and household air pollution attributable death rate (per 100 000 population)_2016_Female	Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)_2016_Both sexes	Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)_2016_Male	Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)_2016_Female	Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)_2016_Both sexes	Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)_2016_Male	Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2)_2016_Female	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2016_Both sexes	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2016_Male	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2016_Female	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2015_Both sexes	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2015_Male	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2015_Female	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2010_Both sexes	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2010_Male	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2010_Female	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2005_Both sexes	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2005_Male	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2005_Female	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2000_Both sexes	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2000_Male	Mortality rate attributed to unintentional poisoning (per 100 000 population)_2000_Female
Afghanistan	95[ 85-104]	96[ 85-106]	95[ 85-104]	211[ 189-231]	229[ 205-254]	195[ 174-214]	13.9	12.6	15.3	1.2	0.5	1.9	1.2	0.6	1.9	1.4	0.8	2.1	1.5	0.9	2.2	1.7	1.2	2.2
Albania	105[ 70-147]	118[ 81-164]	92[ 60-131]	68[ 46-96]	82[ 57-115]	55[ 36-78]	0.2	0.2	0.1	0.4	0.5	0.4	0.4	0.5	0.4	0.5	0.6	0.4	0.6	0.7	0.5	1	1.3	0.7
Algeria	40[ 31-70]	43[ 34-74]	38[ 29-67]	50[ 39-86]	55[ 44-94]	44[ 34-79]	1.9	1.7	2.0	0.8	0.9	0.6	0.8	1	0.6	0.9	1.1	0.7	1	1.2	0.8	1.3	1.4	1.1
Angola	67[ 58-76]	65[ 55-74]	69[ 60-79]	119[ 102-135]	120[ 102-137]	117[ 101-132]	48.8	52.6	45.2	2.7	3.4	2	2.9	3.7	2.2	3.5	4.4	2.6	4.3	5.5	3.2	4.9	6.5	3.4
Antigua and Barbuda	28[ 24-34]	31[ 26-37]	26[ 21-31]	30[ 25-36]	37[ 31-44]	24[ 20-29]	0.1	0.1	0.1	0.4	0.3	0.4	0.4	0.3	0.4	0.5	0.4	0.5	0.5	0.4	0.6	0.5	0.5	0.5
Argentina	37[ 28-49]	39[ 30-51]	35[ 26-48]	27[ 20-35]	36[ 27-47]	20[ 14-27]	0.4	0.3	0.4	0.6	0.8	0.5	0.7	0.8	0.5	0.7	0.9	0.6	0.8	1	0.6	0.8	1.1	0.6
Armenia	81[ 64-102]	94[ 77-117]	69[ 52-90]	55[ 44-69]	78[ 64-96]	38[ 29-50]	0.2	0.2	0.2	0.6	0.9	0.4	0.7	1	0.4	0.7	1	0.4	0.8	1.1	0.5	0.9	1.4	0.5
Australia	17[ 12-24]	18[ 13-24]	16[ 11-24]	8[ 6-12]	10[ 7-14]	7[ 4-10]	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.3	0.2	0.2	0.3	0.2
Austria	39[ 28-51]	39[ 30-49]	38[ 26-52]	15[ 11-20]	19[ 15-24]	12[ 8-16]	0.1	0.1	0.2	0.2	0.3	0.2	0.2	0.3	0.2	0.3	0.4	0.2	0.2	0.3	0.2	0.3	0.4	0.2
Azerbaijan	55[ 43-73]	60[ 48-79]	50[ 38-67]	64[ 50-85]	80[ 64-105]	51[ 39-69]	1.1	1.3	1.0	0.6	0.8	0.3	0.6	0.8	0.3	0.8	1.2	0.4	0.8	1.1	0.5	1	1.5	0.6
Bahamas	22[ 18-26]	24[ 21-28]	19[ 15-23]	20[ 17-24]	26[ 22-30]	15[ 12-19]	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.2
Bahrain	15[ 14-17]	16[ 14-17]	15[ 13-17]	40[ 36-45]	45[ 40-49]	35[ 31-39]	&lt;0.1	&lt;0.1	&lt;0.1	0.2	0.3	0.1	0.2	0.3	0.1	0.2	0.3	0.1	0.3	0.4	0.2	0.5	0.6	0.3
Bangladesh	103[ 94-112]	112[ 98-123]	95[ 87-102]	149[ 136-162]	161[ 142-178]	137[ 126-147]	11.9	10.1	13.8	0.3	0.3	0.2	0.3	0.4	0.2	0.5	0.6	0.3	0.4	0.5	0.2	0.4	0.5	0.2
Barbados	57[ 46-69]	60[ 50-71]	54[ 43-67]	31[ 25-37]	39[ 32-46]	25[ 20-31]	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.2	0.3	0.4	0.2
Belarus	110[ 86-139]	121[ 99-148]	100[ 72-135]	61[ 47-77]	94[ 77-115]	40[ 28-54]	0.1	0.1	0.1	2.6	4.3	1.1	2.7	4.4	1.1	3.5	5.5	1.7	4.8	7.7	2.3	6.3	10.4	2.6
Belgium	39[ 30-51]	42[ 33-53]	37[ 27-49]	16[ 12-20]	21[ 16-26]	12[ 9-16]	0.3	0.2	0.4	0.2	0.3	0.2	0.2	0.3	0.2	0.3	0.3	0.2	0.3	0.3	0.2	0.4	0.5	0.3
Belize	35[ 29-42]	42[ 35-50]	28[ 23-33]	69[ 57-81]	83[ 68-98]	55[ 45-65]	1.0	1.0	0.9	0.5	0.7	0.3	0.5	0.7	0.3	0.6	0.7	0.4	0.7	0.9	0.5	1	1.3	0.7
Benin	119[ 107-129]	115[ 102-127]	123[ 111-133]	205[ 184-223]	219[ 195-241]	193[ 174-209]	59.7	65.1	54.4	3.5	4.3	2.7	3.6	4.4	2.8	3.6	4.5	2.7	3.3	4.2	2.5	3.6	4.6	2.6
Bhutan	88[ 66-106]	87[ 65-107]	89[ 67-108]	124[ 95-151]	120[ 90-148]	130[ 99-158]	3.9	3.4	4.6	0.6	0.7	0.5	0.6	0.7	0.5	0.7	0.9	0.6	1	1.2	0.8	1.4	1.8	1.1
Bolivia (Plurinational State of)	55[ 46-65]	59[ 49-69]	52[ 43-62]	64[ 53-76]	72[ 60-86]	56[ 46-66]	5.6	6.2	4.9	2	2.6	1.4	2.1	2.8	1.5	2.8	3.5	2.1	3.9	4.8	3	4.7	5.5	4
Bosnia and Herzegovina	159[ 117-204]	168[ 122-213]	151[ 109-197]	80[ 58-102]	101[ 73-128]	62[ 45-81]	0.1	0.1	0.1	0.5	0.6	0.4	0.5	0.6	0.4	0.7	0.9	0.5	0.9	1.1	0.6	1.2	1.7	0.7
Botswana	53[ 42-64]	53[ 42-65]	53[ 42-64]	101[ 80-123]	120[ 94-147]	88[ 70-106]	11.8	11.2	12.3	1.1	1.2	1.1	1.2	1.2	1.1	1.4	1.5	1.3	1.6	2	1.3	1.6	2.1	1.1
Brazil	31[ 24-41]	34[ 27-44]	28[ 22-38]	30[ 24-39]	37[ 30-49]	24[ 19-32]	1.0	1.0	1.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.3	0.2	0.3	0.4	0.2
Brunei Darussalam	9[ 6-11]	10[ 7-13]	7[ 5-10]	13[ 10-18]	15[ 11-20]	11[ 8-15]	&lt;0.1	&lt;0.1	&lt;0.1	0.3	0.4	0.2	0.3	0.4	0.2	0.3	0.4	0.2	0.3	0.4	0.2	0.3	0.4	0.2
Bulgaria	141[ 103-230]	153[ 116-249]	129[ 89-218]	62[ 45-101]	82[ 62-134]	45[ 31-76]	0.1	0.1	0.1	0.6	0.8	0.4	0.6	0.8	0.4	0.8	1	0.5	1	1.5	0.6	1.5	2.2	0.9
Burkina Faso	93[ 84-101]	89[ 80-97]	96[ 87-105]	206[ 186-225]	223[ 199-244]	194[ 175-211]	49.6	45.5	53.7	3	3.4	2.6	3	3.4	2.6	2.7	3.1	2.2	2.8	3.4	2.3	2.8	3.5	2.1
Burundi	100[ 91-109]	103[ 92-112]	98[ 89-106]	180[ 163-195]	187[ 168-205]	173[ 157-187]	65.4	64.0	66.8	5.2	6.8	3.7	5.3	6.9	3.7	5.2	6.9	3.6	4.8	6.3	3.4	4.3	5.7	3
