Region/Country/Area	X2	Year	Series	Value	Footnotes	Source
1	Total, all countries or areas	2005	Population mid-year estimates (millions)	6541.907	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2005	Population mid-year estimates for males (millions)	3296.4853	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2005	Population mid-year estimates for females (millions)	3245.4217	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2005	Sex ratio (males per 100 females)	101.5734	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2005	Population aged 0 to 14 years old (percentage)	28.1425	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2005	Population aged 60+ years old (percentage)	10.2516	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2005	Population density	50.286	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2010	Population mid-year estimates (millions)	6956.8236	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2010	Population mid-year estimates for males (millions)	3507.7036	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2010	Population mid-year estimates for females (millions)	3449.12	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2010	Sex ratio (males per 100 females)	101.6985	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2010	Population aged 0 to 14 years old (percentage)	26.9741	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2010	Population aged 60+ years old (percentage)	10.981	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2010	Population density	53.4754	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2017	Population mid-year estimates (millions)	7547.8589	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2017	Population mid-year estimates for males (millions)	3805.4691	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2017	Population mid-year estimates for females (millions)	3742.3898	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2017	Sex ratio (males per 100 females)	101.6855	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2017	Population aged 0 to 14 years old (percentage)	25.8943	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2017	Population aged 60+ years old (percentage)	12.7105	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2017	Population density	58.0185	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2017	Surface area (thousand km2)	136162	NA	"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
1	Total, all countries or areas	2019	Population mid-year estimates (millions)	7713.4681	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2019	Population mid-year estimates for males (millions)	3889.0346	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2019	Population mid-year estimates for females (millions)	3824.4336	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
1	Total, all countries or areas	2019	Sex ratio (males per 100 females)	101.6892	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2019	Population aged 0 to 14 years old (percentage)	25.6082	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2019	Population aged 60+ years old (percentage)	13.2011	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019.
1	Total, all countries or areas	2019	Population density	59.2915	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
2	Africa	2005	Population mid-year estimates (millions)	916.1543	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
2	Africa	2005	Population mid-year estimates for males (millions)	456.6481	NA	United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019.
