country	Population (in thousands) total	Population proportion under 15 (%)	Population proportion over 60 (%)	Population median age (years)	Population living in urban areas (%)
Afghanistan	34656	43.9	4.1	16.5	28.9
Albania	2926	17.7	1.6	32.9	62
Algeria	40606	29	10.7	26.9	73.4
Andorra	77	14.8	0.1	NA	82.8
Angola	28813	47	3.3	16.3	47.8
Antigua and Barbuda	101	24.2	0	30.5	22.2
Argentina	43847	25.1	19.3	31.1	92.4
Armenia	2925	19.9	1.4	32.7	62.3
Australia	24126	18.9	14.4	37.2	90.1
Austria	8712	14.1	6.2	42.7	66.4
Azerbaijan	9725	23.2	2.7	29.7	56.1
Bahamas	391	20.5	0.1	31.8	83.3
Bahrain	1425	20.3	0.2	30.1	89.1
Bangladesh	162952	28.9	33.7	25.1	38
Barbados	285	19.2	0.2	36.9	31.4
Belarus	9480	16.5	5.7	39.3	78.5
Belgium	11358	17	8	41.6	98
Belize	367	32	0.1	23	43.6
Benin	10872	42.9	1.6	18.4	46.3
Bhutan	798	26.9	0.2	25.8	42.2
Bolivia (Plurinational State of)	10888	32	2.9	22.4	70.4
Bosnia and Herzegovina	3517	14.2	2.3	39.5	40.8
Botswana	2250	31.6	0.4	22.5	58.9
Brazil	207653	22.1	73.4	30.3	86.8
Brunei Darussalam	423	23.4	0.1	30.5	78.6
Bulgaria	7131	14.1	5.6	43	75.5
Burkina Faso	18646	45.4	2.1	17.1	33.9
Burundi	10524	44.9	1.3	17.6	13.6
Cabo Verde	540	30.7	0.1	24.2	68.6
Cambodia	15762	31.4	3.1	24.4	22
Cameroon	23439	42.9	3.2	18.3	57.1
Canada	36290	16	24	40.1	82.7
Central African Republic	4595	43.5	0.7	19.7	41.7
Chad	14453	47.4	1.7	15.8	23.4
Chile	17910	20.6	8.1	33.1	90.3
China	1411415	17.7	646	37.4	61
Colombia	48653	23.9	15.8	27.7	77.8
Comoros	796	40	0.1	19.1	29
Congo	5126	42.4	0.8	18.8	67.4
Cook Islands	17	30.2	0	NA	75.7
Costa Rica	4857	21.9	1.8	29.7	80.6
Côte d'Ivoire	23696	42.6	3.3	19	57.5
Croatia	4213	14.7	3.2	42.6	60.7
Cuba	11476	16.2	6.5	40.1	77.7
Cyprus	1170	16.9	0.6	35.2	66.7
