Country	Adult mortality rate
Afghanistan	245
Albania	96
Algeria	95
Angola	238
Antigua and Barbuda	120
Argentina	111
Armenia	116
Australia	61
Austria	62
Azerbaijan	118
Bahamas	159
Bahrain	57
Bangladesh	130
Barbados	100
Belarus	161
Belgium	72
Belize	179
Benin	242
Bhutan	207
Bolivia (Plurinational State of)	182
Bosnia and Herzegovina	92
Botswana	249
Brazil	143
Brunei Darussalam	98
Bulgaria	135
Burkina Faso	255
Burundi	290
Cabo Verde	122
Cambodia	170
Cameroon	341
Canada	63
Central African Republic	412
Chad	360
Chile	87
China	80
Colombia	137
Comoros	225
Congo	261
Costa Rica	97
Côte d'Ivoire	398
Croatia	88
Cuba	92
Cyprus	55
Czechia	81
Democratic People's Republic of Korea	132
Democratic Republic of the Congo	256
Denmark	65
Djibouti	245
Dominican Republic	160
Ecuador	114
Egypt	165
El Salvador	177
Equatorial Guinea	305
Eritrea	252
Estonia	119
Eswatini	393
Ethiopia	219
Fiji	186
Finland	70
France	71
Gabon	221
Gambia	262
Georgia	160
Germany	69
Ghana	241
Greece	66
Grenada	140
Guatemala	162
Guinea	262
Guinea-Bissau	269
Guyana	264
Haiti	243
Honduras	145
Hungary	126
Iceland	55
India	178
Indonesia	176
Iran (Islamic Republic of)	80
Iraq	174
Ireland	62
Israel	58
Italy	54
Jamaica	131
Japan	51
Jordan	111
Kazakhstan	181
Kenya	219
Kiribati	197
Kuwait	79
Kyrgyzstan	162
Lao People's Democratic Republic	193
Latvia	154
Lebanon	96
Lesotho	483
Liberia	230
Libya	150
Lithuania	155
Luxembourg	56
Madagascar	216
Malawi	255
Malaysia	123
Maldives	53
Mali	270
Malta	55
Mauritania	202
Mauritius	145
Mexico	127
Micronesia (Federated States of)	164
Mongolia	211
Montenegro	99
Morocco	69
Mozambique	336
Myanmar	195
Namibia	296
Nepal	151
Netherlands	59
New Zealand	66
Nicaragua	146
Niger	250
Nigeria	352
Norway	55
Oman	96
Pakistan	159
Panama	111
Papua New Guinea	224
Paraguay	146
Peru	124
Philippines	194
Poland	111
Portugal	76
Qatar	62
Republic of Korea	61
Republic of Moldova	167
Romania	135
Russian Federation	203
Rwanda	198
Saint Lucia	147
Saint Vincent and the Grenadines	169
Samoa	110
Sao Tome and Principe	191
Saudi Arabia	89
Senegal	185
Serbia	103
Seychelles	163
Sierra Leone	389
Singapore	51
Slovakia	104
Slovenia	72
Solomon Islands	146
Somalia	316
South Africa	301
South Sudan	321
Spain	56
Sri Lanka	131
Sudan	224
Suriname	180
Sweden	52
Switzerland	49
Syrian Arab Republic	301
Tajikistan	123
Thailand	147
Republic of North Macedonia	96
Timor-Leste	150
Togo	265
Tonga	133
Trinidad and Tobago	172
Tunisia	91
Turkey	104
Turkmenistan	191
Uganda	288
Ukraine	180
United Arab Emirates	74
United Kingdom of Great Britain and Northern Ireland	67
United Republic of Tanzania	261
United States of America	114
Uruguay	114
Uzbekistan	131
Vanuatu	129
Venezuela (Bolivarian Republic of)	157
Viet Nam	125
Yemen	221
Zambia	286
Zimbabwe	334
