Country	Concentration_fine_particles
Afghanistan	53.2
Albania	17.9
Algeria	35.2
Andorra	9.9
Angola	27.9
Antigua and Barbuda	17.9
Argentina	11.8
Armenia	30.5
Australia	7.2
Austria	12.4
Azerbaijan	18.2
Bahamas	17.6
Bahrain	69
Bangladesh	58.3
Barbados	22.2
Belarus	18.1
Belgium	12.9
Belize	21.2
Benin	33.1
Bhutan	35.3
Bolivia (Plurinational State of)	20.2
Bosnia and Herzegovina	27.3
Botswana	21.2
Brazil	11.5
Brunei Darussalam	5.8
Bulgaria	18.8
Burkina Faso	36.8
Burundi	35.6
Cabo Verde	32
Cambodia	24
Cameroon	65.3
Canada	6.5
Central African Republic	49.5
Chad	53
Chile	21
China	49.2
Colombia	15.2
Comoros	18.6
Congo	38.7
Cook Islands	12
Costa Rica	15.9
Côte d'Ivoire	23.7
Croatia	17
Cuba	18.4
Cyprus	16.8
Czechia	15.1
Democratic People's Republic of Korea	30.4
Democratic Republic of the Congo	37.6
Denmark	10.1
Djibouti	40.4
Dominica	18.2
Dominican Republic	12.9
Ecuador	14.9
Egypt	79.3
El Salvador	23.4
Equatorial Guinea	45.9
Eritrea	42.4
Estonia	6.7
Eswatini	16.3
Ethiopia	34.4
Fiji	10.2
Finland	5.9
France	11.6
Gabon	38.5
Gambia	32.2
Georgia	21.2
Germany	11.7
Ghana	31.9
Greece	15.7
Grenada	21.6
Guatemala	23.6
Guinea	22.4
Guinea-Bissau	27.1
Guyana	20.5
Haiti	14.6
Honduras	20.1
Hungary	15.6
Iceland	5.9
India	65.2
Indonesia	15.6
Iran (Islamic Republic of)	35.1
Iraq	57.7
Ireland	8.3
Israel	19.5
Italy	15.3
Jamaica	13.3
Japan	11.4
Jordan	32.1
Kazakhstan	11.3
Kenya	25.9
Kiribati	10.5
Kuwait	57.2
Kyrgyzstan	18.1
Lao People's Democratic Republic	24.5
Latvia	12.7
Lebanon	30.7
Lesotho	27.8
Liberia	17.2
Libya	44.2
Lithuania	11.5
Luxembourg	10.2
Madagascar	21.4
Malawi	22.1
Malaysia	16
Maldives	7.6
Mali	31.2
Malta	14
Marshall Islands	9.4
Mauritania	40.8
Mauritius	13.5
Mexico	20.1
Micronesia (Federated States of)	10.2
Monaco	12.2
Mongolia	40.4
Montenegro	20.2
Morocco	31
Mozambique	19.4
Myanmar	34.7
Namibia	22.6
Nauru	12.5
Nepal	94.3
Netherlands	12.1
New Zealand	5.7
Nicaragua	16.9
Niger	70.8
Nigeria	48.7
Niue	11.5
Norway	7
Oman	38.2
Pakistan	55.2
Palau	12.2
Panama	11.2
Papua New Guinea	10.9
Paraguay	11.2
Peru	24.3
Philippines	18.4
Poland	20.5
Portugal	7.9
Qatar	90.3
Republic of Korea	24.6
Republic of Moldova	16
Romania	14.3
Russian Federation	13.7
Rwanda	40.7
Saint Kitts and Nevis	12.3
Saint Lucia	21.2
Saint Vincent and the Grenadines	21.2
Samoa	10.6
San Marino	13.4
Sao Tome and Principe	25.7
Saudi Arabia	78.4
Senegal	37.5
Serbia	24.3
Seychelles	18.7
Sierra Leone	20.6
Singapore	18.3
Slovakia	17.5
Slovenia	15.8
Solomon Islands	10.7
Somalia	29.5
South Africa	23.6
South Sudan	41.1
Spain	9.5
Sri Lanka	15.2
Sudan	47.9
Suriname	23.6
Sweden	5.9
Switzerland	10.2
Syrian Arab Republic	39.4
Tajikistan	40
Thailand	26.2
Republic of North Macedonia	28.3
Timor-Leste	17.9
Togo	32.7
Tonga	10.1
Trinidad and Tobago	22
Tunisia	35.7
Turkey	42
Turkmenistan	19
Tuvalu	11.4
Uganda	48.4
Ukraine	18.3
United Arab Emirates	39.4
United Kingdom of Great Britain and Northern Ireland	10.5
United Republic of Tanzania	25.6
United States of America	7.4
Uruguay	8.6
Uzbekistan	25.3
Vanuatu	10.3
Venezuela (Bolivarian Republic of)	15.8
Viet Nam	29.7
Yemen	45
Zambia	24.7
Zimbabwe	19.4
