Country	Density_of_medical_doctors
Afghanistan	2.782
Albania	12.164
Algeria	17.193
Andorra	33.333
Angola	2.146
Antigua and Barbuda	29.56
Argentina	39.901
Armenia	44.023
Australia	36.778
Austria	51.697
Azerbaijan	34.46
Bahamas	20.068
Bahrain	9.257
Bangladesh	5.809
Barbados	24.843
Belarus	51.905
Belgium	30.709
Belize	11.229
Benin	0.791
Bhutan	4.242
Bolivia (Plurinational State of)	15.901
Bosnia and Herzegovina	21.616
Botswana	5.269
Brazil	21.643
Brunei Darussalam	16.09
Bulgaria	40.332
Burkina Faso	0.847
Burundi	1.001
Cabo Verde	7.814
Cambodia	1.927
Cameroon	0.881
Canada	23.105
Central African Republic	0.721
Chad	0.434
Chile	25.912
China	19.798
Colombia	21.848
Comoros	2.715
Congo	1.645
Cook Islands	14.124
Costa Rica	28.939
Côte d'Ivoire	2.314
Croatia	29.996
Cuba	84.218
Cyprus	19.509
Czechia	41.208
Democratic People's Republic of Korea	36.834
Democratic Republic of the Congo	0.74
Denmark	40.099
Djibouti	2.237
Dominica	11.189
Dominican Republic	15.268
Ecuador	20.368
Egypt	4.521
El Salvador	15.662
Equatorial Guinea	4.017
Eritrea	0.628
Estonia	44.833
Eswatini	3.285
Ethiopia	0.769
Fiji	8.6
Finland	38.118
France	32.672
Gabon	6.819
Gambia	1.021
Georgia	71.201
Germany	42.488
Ghana	1.359
Greece	54.789
Grenada	14.067
Guatemala	3.549
Guinea	0.832
Guinea-Bissau	1.274
Guyana	8.023
Haiti	2.343
Honduras	3.089
Hungary	34.075
Iceland	40.778
India	8.571
Indonesia	4.269
Iran (Islamic Republic of)	15.844
Iraq	7.079
Ireland	33.125
Israel	46.249
Italy	39.774
Jamaica	13.061
Japan	24.115
Jordan	23.237
Kazakhstan	39.8
Kenya	1.565
Kiribati	2.039
Kuwait	26.463
Kyrgyzstan	22.13
Lao People's Democratic Republic	3.726
Latvia	31.905
Lebanon	21.038
Lesotho	0.692
Liberia	0.376
Libya	20.905
Lithuania	63.528
Luxembourg	30.09
Madagascar	1.812
Malawi	0.358
Malaysia	15.358
Maldives	45.627
Mali	1.286
Malta	28.598
Marshall Islands	4.233
Mauritania	1.865
Mauritius	25.331
Mexico	23.827
Micronesia (Federated States of)	1.942
Monaco	75.067
Mongolia	28.592
Montenegro	27.557
Morocco	7.308
Mozambique	0.838
Myanmar	6.77
Namibia	4.182
Nauru	13.462
Nepal	7.486
Netherlands	36.054
New Zealand	35.898
Nicaragua	9.775
Niger	0.433
Nigeria	3.806
Niue	18.75
Norway	29.164
Oman	20.031
Pakistan	9.801
Palau	14.205
Panama	15.687
Papua New Guinea	0.699
Paraguay	13.544
Peru	13.048
Philippines	6.004
Poland	23.788
Portugal	51.24
Qatar	24.852
Republic of Korea	23.608
Republic of Moldova	32.066
Republic of North Macedonia	28.736
Romania	29.807
Russian Federation	37.494
Rwanda	1.34
Saint Kitts and Nevis	26.758
Saint Lucia	6.409
Saint Vincent and the Grenadines	6.648
Samoa	3.445
San Marino	61.094
Sao Tome and Principe	0.531
Saudi Arabia	26.117
Senegal	0.691
Serbia	31.131
Seychelles	21.212
Sierra Leone	0.251
Singapore	22.936
Slovakia	34.156
Slovenia	30.861
Solomon Islands	1.937
Somalia	0.23
South Africa	9.054
Spain	38.723
Sri Lanka	10.041
Sudan	2.618
Suriname	12.101
Sweden	39.84
Switzerland	42.957
Syrian Arab Republic	12.874
Tajikistan	21.026
Thailand	8.05
Timor-Leste	7.224
Togo	0.774
Tonga	5.403
Trinidad and Tobago	41.675
Tunisia	13.025
Turkey	18.492
Turkmenistan	22.247
Uganda	1.68
Ukraine	29.923
United Arab Emirates	25.278
United Kingdom of Great Britain and Northern Ireland	28.117
United Republic of Tanzania	0.14
United States of America	26.12
Uruguay	50.794
Uzbekistan	23.742
Vanuatu	1.653
Venezuela (Bolivarian Republic of)	19.475
Viet Nam	8.281
West Bank and Gaza Strip	NA
Yemen	5.251
Zambia	11.867
Zimbabwe	2.096
