country	Respiratory Infectious	Malignant neoplasms	Cardiovascular diseases	Ischaemic heart disease	Respiratory diseases	Kidney diseases	Road injury
Afghanistan	17.1084518345	19.9647816496	51.2438703597	32.1206155691	6.71486009336	5.33158141355	5.25284390807
Albania	0.431427795351	5.13836284594	14.9301709397	7.41826917371	0.886713880887	0.437991208101	0.415129110746
Algeria	8.73012986047	25.1660190641	69.1727845894	44.3363309956	5.96479018223	7.26455672899	9.77800030136
Angola	24.106342274	8.45534290648	22.541435894	9.21900892907	3.6024611091	1.19248689662	6.69643147612
Antigua and Barbuda	0.032937453971	0.133512431105	0.212037827357	0.091310231475	0.028393741681	0.013375531507	0.004675808364
Argentina	32.7117148972	65.6574520677	91.0284999005	47.6593225011	34.4247725979	10.7657484131	6.0352149868
Armenia	0.324051697879	7.95321761319	12.2875216919	8.85967577571	1.15557349167	0.352366082405	0.438654213693
Australia	3.90888428243	45.7485251537	44.0420118814	23.5929154964	11.7376480299	2.61758625333	1.24262380375
Austria	1.1574604988	20.8985370706	33.0171986431	19.4239250855	4.10841623004	1.89940517447	0.432296550654
Azerbaijan	1.39113759236	10.1362752354	32.3898894395	23.3327304002	1.91089738723	0.965057538748	1.0199601493
Bahamas	0.092200067417	0.531965694704	0.727029174171	0.30085220123	0.040456775009	0.073630009291	0.038026296325
Bahrain	0.066970046685	0.456165592385	0.775208476753	0.557410275578	0.096255936282	0.108843320307	0.098386812299
Bangladesh	31.8935960383	99.61996552	257.554669079	118.287184758	82.2934547381	16.9475296768	20.8161446524
Barbados	0.277007604197	0.73160702289	0.947436549133	0.361280881377	0.113520957613	0.064202831648	0.025000771292
Belarus	0.86937630906	18.808018739	73.6558336	56.1300337037	2.1717591368	0.568211644143	1.18646428422
Belgium	5.89690018845	28.8069203611	30.9629117859	15.1297646183	8.64762593212	2.32507767549	0.726412535653
Belize	0.108008558522	0.287289467796	0.514056514283	0.257666955179	0.064990479294	0.084431829117	0.067945963681
Benin	11.6349634712	3.91828571991	13.4228851964	5.57348587752	2.38149229866	1.42860405049	3.22885321522
Bhutan	0.224985626567	0.458271389289	1.32971266964	0.798591191543	0.419122119956	0.161435524559	0.120870569102
Bolivia (Plurinational State of)	6.26272436922	7.94839536755	16.7067411674	9.59117882471	3.30360694242	3.74426566977	2.53326524591
Bosnia and Herzegovina	0.369137742404	7.26219680813	20.2793845361	10.7466487208	1.44809939313	0.653627915376	0.563841731764
Botswana	0.961026814452	1.09852142129	2.91004402603	1.30969618484	0.612490192048	0.220535569024	0.45890946576
Brazil	92.8165324278	233.850537703	369.072081129	171.978977454	84.7493673797	26.2912197534	43.6977593911
Brunei Darussalam	0.058681302505	0.40197846476	0.472358546585	0.252899198553	0.098730131752	0.057805333822	0.029983090624
Bulgaria	1.55574289406	19.3670578626	67.8310126012	36.9097795575	4.61202502808	2.09170652991	0.527095007746
Burkina Faso	15.6648832464	7.30691046668	20.3768975753	9.10875875559	2.41593522951	1.24114938179	6.00359088898
Burundi	9.73062320332	6.58510055698	11.0791459424	4.09251787715	2.0049402819	0.542319017055	3.70876900625
Cambodia	7.46513195864	13.0668469988	22.5361019936	8.32367480316	3.81742661621	1.77796482	3.06217004299
Cameroon	24.1748635579	11.5759113219	28.623134747	11.6597275206	5.32336655354	3.35041003412	6.87252843571
Canada	7.09332972501	78.3058686326	63.6829671602	38.3227283607	18.6098938972	3.6016471179	2.12253228357
Cape Verde	0.2915448106	0.309912492188	1.05884946931	0.602605663618	0.114142007817	0.071565126064	0.112052695557
Central African Republic	5.34911708649	2.39704929793	6.81705344516	2.64667289452	1.10892532143	0.286341600991	1.48198158574
Chad	27.250974719	5.32549568063	17.6153012689	7.69282780577	3.11806310213	2.10812277082	3.80620421743
Chile	4.40925719751	27.9584425976	29.6975108033	12.2013171372	7.06396398728	2.70975793777	2.00996520212
China	177.507375675	2369.53789896	4475.66044156	1927.80283317	938.227170916	196.376683788	284.985991318
Colombia	10.781231531	56.2391986236	83.9866052476	49.8245779222	18.2723994303	6.52721395427	10.6267088759
Comoros	0.677982946759	0.466769575085	0.988583327981	0.438300172635	0.127823131055	0.045883568345	0.236041532725
Congo	2.81717943555	1.8143483839	5.51621334241	2.4022004683	0.809957511589	0.274685565151	1.38766192949
Costa Rica	0.75162300546	5.77419205227	7.22654449931	4.05974289476	1.60989740743	0.675408311156	0.749892960899
Côte d'Ivoire	30.0734540687	10.4417807187	42.677092483	19.7829803589	6.50081050575	4.30866462175	5.76564608383
Croatia	0.62960240228	14.1513680346	23.0844678791	12.8876429545	2.01568630847	1.00451259982	0.344587751502
Cuba	6.71270076923	24.5098326786	35.0616276476	20.2226062612	5.56296924877	1.10053339965	0.871545713543
Cyprus	0.12673321454	1.92899178298	2.82540733583	1.53227139706	0.730175156891	0.187945037372	0.071126675847
Czechia	3.59755935602	27.7245005698	47.3337349806	31.0542905894	4.67990016178	1.36348273616	0.544159312159
Democratic People's Republic of Korea	4.80658376286	42.4833606597	88.0902469601	31.885925466	31.5579749165	3.46271515026	5.21587397921
Democratic Republic of the Congo	74.7897229444	38.7686235296	76.2209188608	28.4101714492	13.6796798866	3.33961964453	27.7592807827
Denmark	2.12740340142	16.5057391159	12.4838026105	5.43862629521	4.75998080539	0.593399780567	0.18153824841
Djibouti	0.663661478623	0.548669118031	1.39459075513	0.62306384322	0.162572861195	0.079540246944	0.244508679181
Dominican Republic	2.40096956101	10.4785123326	22.8971811682	13.3985172004	1.69947237974	2.18689186135	2.84653382564
Ecuador	5.37944806413	13.9729300934	19.8475657572	9.10873775275	4.36041470565	2.88756114706	3.94966428101
Egypt	22.1237540106	77.6727478876	245.903696343	163.171139348	25.9085146117	18.2785055253	13.4746121483
El Salvador	2.15444333766	6.60527405635	9.78960731955	6.94681026226	1.23581451178	4.09119507726	1.12741308832
Equatorial Guinea	1.18732443747	0.475218204774	1.49555031984	0.63525056833	0.220100970078	0.107191451193	0.251852729648
Eritrea	3.58893721349	2.71477644514	6.61679043199	2.41430708071	1.02024513019	0.280819277151	1.30003533757
Estonia	0.279588706159	3.95902453507	7.83966451719	5.74910896747	0.3452513517	0.341358987248	0.076082113504
Ethiopia	66.6954928286	50.9134757115	109.499741644	47.7115627215	15.4598486145	6.42617806238	29.3863977604
Fiji	0.226578007667	0.61325850786	2.18268182095	1.41814218357	0.336008870619	0.240226102983	0.059090441413
Finland	0.303948176758	12.3743789481	19.0599123084	10.8654747979	1.74152115731	0.425583576645	0.2395416096
France	17.9002008854	173.395912718	143.400956355	61.8535303009	31.0721533397	8.23949151019	2.84938161431
Gabon	1.13478020418	0.75703246311	2.51761513032	1.0472995236	0.310578134745	0.15224623479	0.439355551213
Gambia	1.62167828552	0.586981877655	2.25886456699	1.20655343237	0.351904862244	0.192462576464	0.656603935122
Georgia	0.555536768095	7.04005389698	36.3082456233	20.602915204	2.18977131539	0.868174207542	0.477350449406
Germany	23.3074007749	235.379451065	343.530824855	191.912833639	58.8388742703	23.315930136	3.27799053958
Ghana	22.1952777006	11.9225238725	42.230968548	18.0285028511	4.88729784116	2.79311305984	7.4721725359
Greece	8.30236415603	31.408068065	46.0979861163	23.0816196226	10.4989906855	3.33825004353	0.943371995963
Grenada	0.05581786303	0.155363554715	0.248345039264	0.123530224729	0.019543644687	0.016961631783	0.008002825157
Guatemala	7.22264984191	7.99266743577	13.8408308116	7.91256234721	2.75591984417	3.43579981313	2.66290343094
Guinea	13.9957956884	4.9209814186	17.3880262589	7.94987503485	3.003508876	1.21999917139	3.64344326448
Guinea-Bissau	1.71944773775	0.719408100549	2.07978506133	1.02216832928	0.325006896261	0.169817334404	0.475869825006
Guyana	0.262835901324	0.548337786732	2.2584279583	1.12755733179	0.19085746549	0.147180396962	0.127989190646
Haiti	6.98356872299	6.82360947353	26.6166843299	12.6503605133	3.14331461525	2.30300708936	1.71284668541
Honduras	0.838913026669	5.50234861992	9.88612270988	6.88161812626	1.67778591526	1.89235192569	1.36959852669
