country	Population density	Sex ratio (males per 100 females)	Population aged 60+ years old (percentage)
Total, all countries or areas	59.2915	101.6892	13.2011
Africa	44.1191	99.8416	5.4575
Northern Africa	31.1195	100.978	8.6463
Sub-Saharan Africa	48.7354	99.5857	4.7344
Eastern Africa	65.0777	98.4734	4.5424
Middle Africa	26.8298	99.5811	4.3444
Southern Africa	25.137	96.915	8.1707
Western Africa	64.5508	101.303	4.5361
Americas	23.9762	97.2377	16.2317
Northern America	19.6551	98.0036	22.6138
Latin America & the Caribbean	32.1818	96.8071	12.6218
Caribbean	191.7401	97.5732	14.4866
Central America	72.4172	96.0947	10.4186
South America	24.4658	97.0272	13.3484
Asia	148.2729	104.696	12.7377
Central Asia	18.6443	98.0595	8.6227
Eastern Asia	144.6838	104.0531	18.364
South-central Asia	192.8381	106.2189	9.2395
South-eastern Asia	152.5127	99.799	10.7554
Southern Asia	299.7146	106.5437	9.263
Western Asia	57.299	109.8704	8.6266
Europe	33.7559	93.3347	25.2673
Eastern Europe	16.2548	88.8066	23.2775
Northern Europe	62.1284	97.5081	24.4795
Southern Europe	117.7269	95.4565	27.3995
Western Europe	180.2393	96.4981	27.0174
Oceania	4.9641	100.2247	17.2497
Australia and New Zealand	3.7739	98.7979	21.4864
Melanesia	20.6169	103.9811	6.3535
Micronesia	171.4467	102.1367	10.463
Polynesia	84.0261	102.9131	10.8028
Afghanistan	58.2694	105.4975	4.1655
Albania	105.143	103.7236	20.4779
Algeria	18.0763	102.0949	9.6817
American Samoa	276.56	NA	NA
Andorra	164.1319	NA	NA
Angola	25.5276	97.9121	3.6243
Anguilla	165.2111	NA	NA
Antigua and Barbuda	220.7227	93.2099	13.6164
Argentina	16.3631	95.2141	15.3941
Armenia	103.8894	88.8162	17.9115
Aruba	590.6333	90.2912	21.0612
Australia	3.2807	99.205	21.4395
Austria	108.6666	97.0005	25.3214
Azerbaijan	121.5577	99.681	11.0734
Bahamas	38.9093	94.494	11.7305
Bahrain	2159.4368	179.8868	5.1096
Bangladesh	1252.5633	102.3599	7.7418
Barbados	667.5	93.6609	22.5412
Belarus	46.5843	87.0839	22.185
Belgium	381.0875	98.0032	25.2634
Belize	17.1132	99.0876	7.3987
Benin	104.6572	99.6846	5.0438
Bermuda	1250.12	NA	NA
Bhutan	20.0197	113.1178	8.7877
Bolivia (Plurin. State of)	10.6278	100.8044	10.1862
Bonaire, St. Eustatius & Saba	79.2043	NA	NA
Bosnia and Herzegovina	64.7255	95.9981	24.4739
Botswana	4.0649	93.6557	6.8703
Brazil	25.2508	96.6611	13.5897
British Virgin Islands	200.2	NA	NA
Brunei Darussalam	82.2173	108.0014	8.9655
Bulgaria	64.4816	94.4443	28.0121
Burkina Faso	74.274	99.7461	3.9008
Burundi	449.0101	98.4066	4.0033
Cabo Verde	136.4603	100.7798	7.3374
Cambodia	93.3976	95.3572	7.3537
Cameroon	54.7405	100.0268	4.2955
Canada	4.114	98.4934	24.3344
Cayman Islands	270.6167	NA	NA
Central African Republic	7.6169	98.2771	4.4808
Chad	12.6643	99.6765	3.9384
Channel Islands	906.6263	97.9818	23.6272
Chile	25.4892	97.2062	16.9431
China	152.7217	105.3662	16.8409
China, Hong Kong SAR	7082.0514	85.0863	25.1708
China, Macao SAR	21419.5652	92.4764	17.9191
Colombia	45.3713	96.437	12.7695
Comoros	457.2198	101.7855	5.0362
Congo	15.7555	99.7851	4.4386
Cook Islands	73.1167	NA	NA
Costa Rica	98.8555	99.9017	14.4913
Côte d’Ivoire	80.8696	101.8196	4.6718
Croatia	73.8081	92.979	27.8954
Cuba	106.4777	98.6394	20.6811
Curaçao	368.0721	84.9953	23.8741
Cyprus	129.7159	100.0033	19.3335
Czechia	138.3896	96.9061	25.9381
Dem. People's Rep. Korea	213.1564	95.7247	14.6316
Dem. Rep. of the Congo	38.2835	99.6495	4.6655
Denmark	136.0329	98.879	25.8219
Djibouti	42	110.9047	7.1616
Dominica	95.744	NA	NA
Dominican Republic	222.2466	99.8779	10.7919
Ecuador	69.9535	100.0843	10.7376
Egypt	100.8469	102.1285	8.1171
El Salvador	311.4649	88.1393	11.8282
Equatorial Guinea	48.3417	125.1867	3.8681
Eritrea	34.6249	100.4761	6.4373
Estonia	31.2727	89.6431	26.5131
Eswatini	66.7517	96.147	5.7235
Ethiopia	112.0787	100.1059	5.2979
Falkland Islands (Malvinas)	0.2775	NA	NA
Faroe Islands	34.8696	NA	NA
