"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"Country"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"," Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%)"," Current health expenditure (CHE) per capita in US$"," Current health expenditure (CHE) per capita in PPP int$"
"Afghanistan","11.8","67.1","","11.0","61.5","174.7","10.1","60.1","183.9","9.5","60.1","176.9","8.8","56.0","164.2","7.9","52.2","144.0","8.6","51.6","138.8","8.6","45.6","132.3","9.8","42.3","143.8","10.3","38.7","127.6","9.9","31.8","104.7","10.6","28.4","111.3","9.9","24.4","98.6","9.8","20.9","87.7","8.9","17.5","80.9","9.4","16.2","79.8","","","","","",""
"Algeria","6.4","258.5","974.8","6.6","260.4","992.6","7.0","290.5","1022.9","6.5","357.9","932.8","6.0","330.2","829.6","6.0","333.9","804.9","5.3","286.2","684.3","5.1","228.4","645.1","5.4","207.3","656.0","4.2","206.1","510.9","3.8","150.4","452.5","3.4","116.2","380.1","3.2","100.3","354.9","3.5","92.1","360.6","3.6","75.4","346.4","3.7","66.2","332.3","3.8","66.5","322.9","3.5","61.3","282.3"
"Andorra","10.3","4040.8","5237.2","10.3","3843.7","4990.4","10.3","3695.1","5093.2","10.3","4346.3","4963.5","10.1","4107.7","4652.2","10.0","3857.2","4414.7","9.8","4013.9","4010.3","9.4","3754.7","3937.5","9.0","3911.9","3966.1","8.8","4201.7","3983.9","8.4","4094.5","4098.1","8.4","3689.7","3974.6","8.6","3536.1","3741.4","8.2","3161.5","3350.2","8.5","2774.1","3277.3","9.1","2256.3","3284.2","9.4","2081.3","3143.0","9.3","2050.6","3049.0"
"Angola","2.8","114.5","185.9","2.7","95.2","183.5","2.6","108.7","185.1","2.4","131.8","175.4","2.7","143.7","190.9","2.4","122.2","162.3","2.6","122.1","167.9","2.7","96.6","167.8","3.8","119.8","233.6","3.3","135.2","206.0","3.0","92.5","168.6","2.7","69.4","134.8","2.9","53.9","129.0","4.0","49.5","156.6","3.5","34.7","127.4","3.3","29.0","117.9","4.5","28.9","174.0","1.9","13.0","71.8"
"Antigua and Barbuda","4.5","673.9","1070.8","4.4","632.2","986.5","4.7","639.6","1007.5","5.3","677.6","1081.8","5.4","660.6","1057.5","5.2","649.8","1007.8","5.3","632.0","985.5","5.2","631.6","976.3","4.4","575.3","891.2","4.4","650.1","1017.4","4.7","675.7","1082.6","4.7","598.3","968.5","5.0","569.3","897.8","5.3","547.9","874.4","5.8","569.6","899.4","5.4","512.3","785.4","5.3","497.1","755.8","4.5","444.9","671.3"
"Argentina","9.1","1324.6","1916.5","7.5","959.3","1521.1","8.8","1305.4","1794.3","8.3","1089.5","1640.3","8.4","1206.9","1691.4","8.5","1168.1","1657.0","8.4","1068.6","1648.2","8.6","891.1","1578.8","9.0","742.8","1497.0","7.7","694.7","1358.5","7.6","551.8","1283.3","7.6","447.4","1149.4","7.6","390.1","1051.4","7.2","309.7","898.4","7.1","260.8","864.5","7.6","222.6","844.4","8.6","671.5","1068.6","8.5","705.2","1085.1"
"Armenia","10.4","407.6","1001.1","10.0","358.8","880.0","10.1","366.0","885.6","10.2","406.6","857.3","10.3","396.8","827.4","9.1","336.6","699.3","9.4","330.7","658.4","9.2","297.2","606.4","8.4","252.8","533.8","6.6","266.3","482.0","5.5","172.6","363.1","5.9","126.2","328.0","5.9","96.4","279.5","6.1","72.2","244.1","7.2","66.8","253.5","7.6","59.6","229.9","4.6","32.3","121.4","4.2","26.1","97.2"
"Australia","9.2","5331.8","4816.2","9.2","4999.8","4634.7","9.3","4887.8","4413.7","9.0","5637.6","4305.8","8.8","5838.4","4179.1","8.7","6047.1","3792.1","8.5","5876.9","3770.5","8.4","4952.8","3595.0","8.6","3997.5","3555.7","8.3","4088.8","3295.7","8.1","3794.3","3177.6","8.0","3177.5","3007.0","8.0","3004.1","2833.4","8.1","2757.6","2745.9","7.9","2241.0","2548.6","7.9","1763.7","2429.0","7.7","1558.2","2267.6","7.6","1632.4","2147.5"
