"","2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
""," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"," Population with basic handwashing facilities at home (%)"
"Country"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"," Total"," Urban"," Rural"
"Afghanistan","38","64","29","38","64","29","38","64","29","38","64","29","37","64","29","37","64","29","37","64","29","37","64","29","37","64","29","37","64","29","37","64","29","37","64","29","37","64","29","","","","","","","","","","","","","","",""
"Algeria","84","88","73","84","88","73","84","88","73","83","88","73","83","88","73","83","88","73","83","88","73","83","88","73","83","88","73","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","27","34","13","27","34","13","26","34","13","26","34","13","26","34","13","26","34","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","94","97","90","93","96","88","93","96","87","92","96","85","91","96","84","91","96","83","90","95","81","89","95","80","89","95","78","88","95","77","88","94","76","87","94","74","86","94","73","86","94","71","85","94","70","84","93","68","84","93","67","83","93","66"
"Azerbaijan","83","","","83","","","83","","","83","","","83","","","83","","","83","","","83","","","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bangladesh","35","51","26","35","51","26","34","51","26","34","51","26","34","51","26","34","51","26","34","51","26","33","51","26","33","51","26","33","51","26","33","51","26","33","51","26","33","51","26","","","","","","","","","","","","","","",""
"Barbados","","","","88","","","88","","","88","","","88","","","88","","","88","","","88","","","88","","","88","","","","","","","","","","","","","","","","","","","","","","","","","",""
